Tout_meas,Tout_pred_mean,u_pred_K,u_meas_K,u_combined_K,residual_K,n_ok
30.239999771118164,30.852612844947892,0.16456624943275897,0.10461586811643525,0.1950039238428817,0.6126130738297277,160
31.93000030517578,32.342265471661975,0.1469971030451282,0.10949447943277914,0.18329536090669435,0.4122651664861934,160
28.0,28.620214000665452,0.15286410391121272,0.09814954576223639,0.1816611339772803,0.6202140006654524,160
27.99220848083496,28.475137170573987,0.1680451147226911,0.09812705358379974,0.1945972230716572,0.48292868973902614,160
31.809999465942383,32.48063609597813,0.17582676555817137,0.10914806684860721,0.20695011955405146,0.6706366300357445,160
33.029998779296875,33.32957144996067,0.16619397338048858,0.11266990150848909,0.20078581497189282,0.29957267066379245,160
30.889999389648438,31.917183242784496,0.18418075365419212,0.10649225539009329,0.2127513818396841,1.0271838531360586,160
26.030000686645508,27.353101317248957,0.1784007877945022,0.09246264759289342,0.2009382549082842,1.3231006306034487,160
30.809999465942383,30.7894251305666,0.6003235514234653,0.10626131550265909,0.609655504007007,-0.020574335375783903,160
26.979999542236328,27.311575150205705,0.13281329696169417,0.09520505806791939,0.16341167318019562,0.331575607969377,160
28.5,28.95074589063151,0.17672763892752252,0.09959292143521045,0.20285809907641542,0.4507458906315094,160
28.559999465942383,28.932798449765308,0.16554185370856203,0.09976612497427578,0.19328058625130917,0.37279898382292487,160
33.0,33.02892085874315,0.16470608852150787,0.11258330249197704,0.19950713169221493,0.02892085874314887,160
32.974361419677734,32.788701440975416,0.1917787158160309,0.11250929028572353,0.2223452635894076,-0.18565997870231854,160
30.93000030517578,31.347308613758194,0.19366592966513127,0.106607728086831,0.22106944610437523,0.4173083085824132,160
31.530000686645508,31.769347142191044,0.17078577661856692,0.10833977999560813,0.2022505609997258,0.23934645554553668,160
34.788665771484375,35.158433896614994,0.22483684971276224,0.1177467358152609,0.25380288174862803,0.3697681251306193,160
27.967222213745117,28.892463362214194,0.1947608824851042,0.09805492444364791,0.21805175888771472,0.9252411484690768,160
26.50641632080078,28.02971357366992,0.18866224326279563,0.09383794106602188,0.21071070503526979,1.5232972528691384,160
25.430110931396484,26.86057603092338,0.1867776877374086,0.0907309150345078,0.20764875048873277,1.430465099526895,160
36.93691635131836,36.38848539963903,0.18691585627086163,0.1239482010680305,0.22427816182916768,-0.5484309516793289,160
28.416027069091797,29.11148551379454,0.18317322479431808,0.09935051246388799,0.20838175210029056,0.6954584447027443,160
26.253889083862305,27.39040868622784,0.14597604466937603,0.09310895772490117,0.17314237963575843,1.136519602365535,160
23.32463836669922,24.782136859397376,0.13552891124526875,0.0846529392745111,0.15979426119589527,1.4574984926981571,160
39.43919372558594,38.990606528500166,0.1864663625029596,0.13117165364613298,0.2279818130144293,-0.44858719708577155,160
30.15305519104004,30.456135303914333,0.15166870471560115,0.10436488073287183,0.18410710013602077,0.30308011287429437,160
27.57058334350586,28.05199778470676,0.14039115802016874,0.09690992665112938,0.17059077095133623,0.4814144412009007,160
26.265888214111328,27.00752355508997,0.1485669732565981,0.09314359623029775,0.1753507201620212,0.7416353409786431,160
40.56716537475586,39.990429049285666,0.18668212959568115,0.13442782732256559,0.23004577429077935,-0.5767363254701934,160
29.80791664123535,29.823720283128022,0.1527396195032527,0.10336855155968457,0.18443006484178653,0.015803641892670584,160
27.042165756225586,27.33256894882502,0.13643148819375636,0.09538451646982539,0.16646848636587488,0.2904031925994346,160
24.868444442749023,25.443508191344723,0.1276813767225783,0.08910952354243078,0.15570176989274073,0.5750637485956993,160
