mode,train,test,n_points,n_converged,convergence_pct,Tout_MAE_K,Tout_RMSE_K,Tout_bias_K,Tout_p95_abs_err_K,Tout_max_abs_err_K,Q_MAPE_pct,evap_MAPE_pct,evap_bias_pct,fill_c,fill_n,fit_r2
within,Exp1,Exp1,33,33,100.0,0.2798016749750815,0.3674666172152029,-0.04297827319545318,0.7593888437601022,0.957625253796337,3.4275135655291673,6.553948308130961,-5.057521087536358,1.5320242826502042,-0.601546851675077,0.8460687019481555
within,Exp2,Exp2,114,114,100.0,0.4541344370395776,0.6190055015942416,-0.0522945269339194,1.4243315093888111,1.9559546527087548,7.4637357638711075,7.766864577290574,-0.8687400538671276,1.2412378730375457,-0.5018563505366541,0.3718087198369282
across,Exp1,Exp2,114,114,100.0,0.5101689653025188,0.7250036520789258,-0.28597269163479366,1.9307756179431157,2.552300162339318,8.33988931072877,7.793607076667734,2.0935829806607913,1.5320242826502042,-0.601546851675077,0.8460687019481555
across,Exp2,Exp1,33,33,100.0,0.5836507404002684,0.7072171787384194,0.46647305457949584,1.4272943836681953,1.506140533794106,6.11233524978554,10.5451630655247,-9.855025685712233,1.2412378730375457,-0.5018563505366541,0.3718087198369282
