condition,T_db,RH_pct,T_wb,base_cycles,opt_cycles,base_fan_pct,opt_fan_pct,base_pH,opt_pH,base_makeup_m3_h,opt_makeup_m3_h,base_kW,opt_kW,base_fan_kW,opt_fan_kW,base_chiller_kW,opt_chiller_kW,base_cost_h,opt_cost_h,base_feasible_at_skin,opt_feasible_at_skin,base_T_cws_C,opt_T_cws_C,base_in_chiller_envelope,opt_in_chiller_envelope,water_saving_pct,cost_saving_pct,energy_saving_pct
Dhahran summer peak,45.0,20.0,25.206616688471364,3.0,5.0,70.0,60.0,7.8,8.25,30.95840927213812,25.02241616688897,1694.9708152164706,1725.2515351364802,37.72999999999999,23.759999999999998,1657.2408152164705,1701.4915351364803,203.82524434681878,187.777906158798,True,True,31.570602426148994,32.56352669094093,True,True,19.17408951173538,7.873086692203558,-1.7865039119356418
Dhahran summer humid,38.0,55.0,29.742703562472865,3.0,5.0,100.0,80.0,7.8,8.25,27.310592979205172,22.193520198728578,1839.9289856495548,1830.6923065602864,110.0,56.320000000000014,1729.9289856495548,1774.3723065602865,205.3134184890505,188.78402281029324,True,True,33.18216396522707,34.11742249025551,True,True,18.736586145796377,8.050811194125034,0.5020128038260953
Dhahran shoulder,33.0,40.0,22.383769731239866,3.0,4.0,60.0,80.0,7.8,8.25,25.262158961193666,23.140804541158055,1648.5372099700776,1602.9813658789135,23.759999999999998,56.320000000000014,1624.7772099700776,1546.6613658789136,185.9608703382763,175.3211484767974,True,True,30.81944432360721,28.93638411120142,True,True,8.397359953653682,5.721484225216025,2.7634101199323835
Doha summer humid,40.0,50.0,30.305263570745826,3.0,5.0,100.0,80.0,7.8,8.25,28.43103591533798,22.99702081887422,1859.9094237737827,1850.572080320977,110.0,56.320000000000014,1749.9094237737827,1794.252080320977,209.63016635411404,192.1861539647088,True,True,33.607461182991955,34.52297323320219,True,True,19.11296905482159,8.32132736084283,0.5020321599242249
Gulf winter,22.0,45.0,14.672361588574272,3.0,4.0,40.0,90.0,7.8,8.5,21.977084658115512,19.85621722256566,1615.612282240558,1409.6859937606916,7.040000000000002,80.19000000000001,1608.572282240558,1329.4959937606916,175.20360217981798,152.9308386697254,True,True,30.43748067428437,23.160321550498082,True,True,9.65035840077485,12.712503186568737,12.746021477026922
