condition,T_db,RH_pct,T_wb,base_cycles,opt_cycles,base_fan_pct,opt_fan_pct,base_pH,opt_pH,base_makeup_m3_h,opt_makeup_m3_h,base_kW,opt_kW,base_fan_kW,opt_fan_kW,base_chiller_kW,opt_chiller_kW,base_cost_h,opt_cost_h,base_feasible_at_skin,opt_feasible_at_skin,base_T_cws_C,opt_T_cws_C,base_in_chiller_envelope,opt_in_chiller_envelope,water_saving_pct,cost_saving_pct,energy_saving_pct
Dhahran summer peak,45.0,20.0,25.206616688471364,4.0,5.0,70.0,60.0,7.8,8.25,27.516013324989103,25.02241616688897,1695.302329536025,1725.2515351364802,37.72999999999999,23.759999999999998,1657.5723295360249,1701.4915351364803,192.90968453020616,187.777906158798,True,True,31.578175249869656,32.56352669094093,True,True,9.06234899892105,2.660197378843682,-1.7665996842375558
Dhahran summer humid,38.0,55.0,29.742703562472865,4.0,5.0,100.0,80.0,7.8,8.25,24.272329185668724,22.193520198728578,1840.2827866830987,1830.6923065602864,110.0,56.320000000000014,1730.2827866830987,1774.3723065602865,195.6846782728185,188.78402281029324,True,True,33.18976264379056,34.11742249025551,True,True,8.5645220573539,3.5264158254150844,0.5211416523706163
Dhahran shoulder,33.0,40.0,22.383769731239866,4.0,4.0,60.0,80.0,7.8,8.25,22.453035143428004,23.140804541158055,1648.858649950242,1602.9813658789135,23.759999999999998,56.320000000000014,1625.098649950242,1546.6613658789136,177.0573305011615,175.3211484767974,True,True,30.826974149362243,28.93638411120142,True,True,-3.063146667417749,0.980576189333606,2.7823660974646223
Doha summer humid,40.0,50.0,30.305263570745826,4.0,5.0,100.0,80.0,7.8,8.25,25.268268758281224,22.99702081887422,1860.2719849387072,1850.572080320977,110.0,56.320000000000014,1750.2719849387072,1794.252080320977,199.6062559323107,192.1861539647088,True,True,33.61510612880366,34.52297323320219,True,True,8.988538000501691,3.7173694446321073,0.5214240012354872
Gulf winter,22.0,45.0,14.672361588574272,4.0,4.0,40.0,90.0,7.8,8.5,19.53326606349047,19.85621722256566,1615.9275223984407,1409.6859937606916,7.040000000000002,80.19000000000001,1608.8875223984408,1329.4959937606916,167.460578102583,152.9308386697254,True,True,30.444955075311675,23.160321550498082,True,True,-1.6533392727333924,8.676513360629258,12.763043254046137
