"time","c","der(c)","B","M","cycles","tau_h"
0,4500,-0.0002867999999999665,2.1,6.304780000000001,3,6.598736632279331
600,4499.830071371575,-0.0002796467524292529,2.1,6.304780000000001,2.999886714247717,6.598736632279331
1200,4499.664359742569,-0.0002726710219792585,2.1,6.304780000000001,2.99977623982838,6.598736632279331
1800,4499.502703814253,-0.0002658660186831912,2.1,6.304780000000001,2.999668469209502,6.598736632279331
2400,4499.345092204307,-0.0002592312633955589,2.1,6.304780000000001,2.999563394802871,6.598736632279331
3000,4499.191343902204,-0.0002527591363695683,2.1,6.304780000000001,2.999460895934802,6.598736632279331
3600,4499.041492498908,-0.0002464510516369774,2.1,6.304780000000001,2.999360994999272,6.598736632279331
3600.000000720086,4499.041492498731,-0.0002464510516295195,2.1,6.304780000000001,2.999360994999154,6.598736632279331
3600.000000720086,4499.041492498731,0.06273342029084376,1.05,5.25478,2.999360994999154,13.16756943522715
4200,4536.444537768301,0.06194438060905502,1.05,5.25478,3.024296358512201,13.16756943522715
4800,4573.378259194754,0.06116524159533115,1.05,5.25478,3.048918839463169,13.16756943522715
5400,4609.847819016067,0.06039589434916466,1.05,5.25478,3.073231879344045,13.16756943522715
6000,4645.858788996806,0.05963622133083898,1.05,5.25478,3.097239192664537,13.16756943522715
6600,4681.416735793804,0.05888610510838822,1.05,5.25478,3.120944490529203,13.16756943522715
7200,4716.526969411491,0.05814543366408294,1.05,5.25478,3.144351312940994,13.16756943522715
7800,4751.194664412348,0.05741409783742287,1.05,5.25478,3.167463109608232,13.16756943522715
8400,4785.425873021822,0.05669196995308086,1.05,5.25478,3.190283915347881,13.16756943522715
9000,4819.226095037176,0.05597893398953376,1.05,5.25478,3.21281739669145,13.16756943522715
9600,4852.601163019303,0.05527486690540998,1.05,5.25478,3.235067442012869,13.16756943522715
10200,4885.556673670868,0.05457965063490883,1.05,5.25478,3.257037782447245,13.16756943522715
10800,4918.097844205239,0.05389317511778396,1.05,5.25478,3.278731896136826,13.16756943522715
11400,4950.230148923958,0.05321532487035974,1.05,5.25478,3.300153432615972,13.16756943522715
12000,4981.958387188175,0.05254599864723314,1.05,5.25478,3.321305591458783,13.16756943522715
12600,5013.287800429294,0.05188508587726377,1.05,5.25478,3.342191866952863,13.16756943522715
13200,5044.223018424294,0.05123248889252847,1.05,5.25478,3.362815345616196,13.16756943522715
13800,5074.768912782156,0.05058810492351275,1.05,5.25478,3.383179275188104,13.16756943522715
14400,5104.930460823457,0.04995182897065268,1.05,5.25478,3.403286973882305,13.16756943522715
15000,5134.712447911567,0.04932356008383672,1.05,5.25478,3.423141631941045,13.16756943522715
15600,5164.11981772602,0.04870319397317897,1.05,5.25478,3.44274654515068,13.16756943522715
16200,5193.157373207124,0.0480906293177718,1.05,5.25478,3.462104915471416,13.16756943522715
16800,5221.829806004878,0.04748576714444349,1.05,5.25478,3.481219870669919,13.16756943522715
17400,5250.141783507374,0.04688850899184183,1.05,5.25478,3.50009452233825,13.16756943522715
18000,5278.097737455867,0.04629876136972601,1.05,5.25478,3.518731824970578,13.16756943522715
18600,5305.702119792844,0.04571643036169808,1.05,5.25478,3.537134746528563,13.16756943522715
19200,5332.959261474552,0.04514142460363742,1.05,5.25478,3.555306174316368,13.16756943522715
19800,5359.873509227921,0.04457365239873146,1.05,5.25478,3.573249006151948,13.16756943522715
20400,5386.449293407155,0.04401302028600001,1.05,5.25478,3.59096619560477,13.16756943522715
21000,5412.69089716658,0.0434594379097327,1.05,5.25478,3.608460598111053,13.16756943522715
21600,5438.60261467575,0.04291281468184623,1.05,5.25478,3.6257350764505,13.16756943522715
22200,5464.188438352988,0.04237306637988071,1.05,5.25478,3.642792292235325,13.16756943522715
22800,5489.452325922945,0.04184010951325991,1.05,5.25478,3.65963488394863,13.16756943522715
23400,5514.3983577647,0.04131385800393898,1.05,5.25478,3.676265571843134,13.16756943522715
24000,5539.030508635579,0.04079422800202727,1.05,5.25478,3.692687005757053,13.16756943522715
24600,5563.352915068254,0.04028113224488612,1.05,5.25478,3.708901943378836,13.16756943522715
25200,5587.369387767966,0.03977449034340209,1.05,5.25478,3.724912925178644,13.16756943522715
25800,5611.083786650082,0.03927422087034452,1.05,5.25478,3.740722524433388,13.16756943522715
26400,5634.499886224044,0.03878024420017206,1.05,5.25478,3.756333257482696,13.16756943522715
27000,5657.621440274667,0.03829248114454172,1.05,5.25478,3.771747626849778,13.16756943522715
27600,5680.45215492547,0.03781085352055424,1.05,5.25478,3.786968103283647,13.16756943522715
28200,5702.995700336197,0.03733528390398771,1.05,5.25478,3.801997133557465,13.16756943522715
28800,5725.255720157613,0.03686569542984305,1.05,5.25478,3.816837146771742,13.16756943522715
29400,5747.235774641008,0.03640201299248314,1.05,5.25478,3.831490516427339,13.16756943522715
30000,5768.939392326325,0.03594416215524077,1.05,5.25478,3.845959594884217,13.16756943522715
30600,5790.370055939314,0.03549206944792661,1.05,5.25478,3.860246703959542,13.16756943522715
31200,5811.531202391539,0.03504566236682904,1.05,5.25478,3.874354134927693,13.16756943522715
31800,5832.426222780374,0.03460486937471435,1.05,5.25478,3.888284148520249,13.16756943522715
32400,5853.058464556843,0.03416961985509465,1.05,5.25478,3.902038976371229,13.16756943522715
33000,5873.431228216032,0.03373984418204587,1.05,5.25478,3.915620818810688,13.16756943522715
33600,5893.547767079249,0.03331547372480299,1.05,5.25478,3.929031844719499,13.16756943522715
34200,5913.411289706203,0.03289644079687381,1.05,5.25478,3.942274193137469,13.16756943522715
34800,5933.024958915957,0.03248267867669254,1.05,5.25478,3.955349972610638,13.16756943522715
35400,5952.391891786925,0.03207412160761974,1.05,5.25478,3.968261261191283,13.16756943522715
36000,5971.515159656888,0.03167070479794214,1.05,5.25478,3.981010106437926,13.16756943522715
36600,5990.398030893424,0.03127235929948467,1.05,5.25478,3.993598687262283,13.16756943522715
37200,6009.043450338371,0.03087902298904186,1.05,5.25478,4.006028966892248,13.16756943522715
37800,6027.454347695017,0.030490634062765,1.05,5.25478,4.018302898463344,13.16756943522715
38400,6045.633654209702,0.03010713068425379,1.05,5.25478,4.030422436139801,13.16756943522715
39000,6063.58425906142,0.02972845190454391,1.05,5.25478,4.042389506040947,13.16756943522715
39600,6081.309009361809,0.02935453766210702,1.05,5.25478,4.054206006241206,13.16756943522715
40200,6098.810860363759,0.02898532561411028,1.05,5.25478,4.065873906909172,13.16756943522715
40800,6116.092677267127,0.02862075531744358,1.05,5.25478,4.077395118178085,13.16756943522715
41400,6133.157123175998,0.02826077059232841,1.05,5.25478,4.088771415450665,13.16756943522715
42000,6150.006918655084,0.02790531404681982,1.05,5.25478,4.100004612436722,13.16756943522715
42600,6166.644745723067,0.02755432910212447,1.05,5.25478,4.111096497148711,13.16756943522715
43200,6183.073247852596,0.02720775999260077,1.05,5.25478,4.122048831901731,13.16756943522715
43800,6199.295088179259,0.02686555053780563,1.05,5.25478,4.132863392119505,13.16756943522715
44400,6215.313014533678,0.02652764277060334,1.05,5.25478,4.143542009689119,13.16756943522715
45000,6231.129471272731,0.02619398512581896,1.05,5.25478,4.154086314181821,13.16756943522715
45600,6246.746983090319,0.02586452434351986,1.05,5.25478,4.16449798872688,13.16756943522715
46200,6262.168039264806,0.02553920791088536,1.05,5.25478,4.174778692843204,13.16756943522715
46800,6277.395093659017,0.02521798406220683,1.05,5.25478,4.184930062439345,13.16756943522715
47400,6292.43056513215,0.02490080177019821,1.05,5.25478,4.1949537100881,13.16756943522715
48000,6307.277049793602,0.02458760626837409,1.05,5.25478,4.204851366529068,13.16756943522715
48600,6321.936802870407,0.02427834998136704,1.05,5.25478,4.214624535246938,13.16756943522715
49200,6336.412165250696,0.02397298352673741,1.05,5.25478,4.224274776833798,13.16756943522715
49800,6350.705445037498,0.02367145821366696,1.05,5.25478,4.233803630024998,13.16756943522715
50400,6364.818917548723,0.02337372604295915,1.05,5.25478,4.243212611699149,13.16756943522715
51000,6378.754825317175,0.02307973970703899,1.05,5.25478,4.252503216878117,13.16756943522715
51600,6392.515512663596,0.02278944975105383,1.05,5.25478,4.261677008442398,13.16756943522715
52200,6406.103163656212,0.02250281010077401,1.05,5.25478,4.270735442437474,13.16756943522715
52800,6419.519911503706,0.02221977575488241,1.05,5.25478,4.27967994100247,13.16756943522715
53400,6432.767895812198,0.0219403015771042,1.05,5.25478,4.288511930541465,13.16756943522715
54000,6445.849225827183,0.02166434307164009,1.05,5.25478,4.297232817218122,13.16756943522715
54600,6458.765980433524,0.02139185638316654,1.05,5.25478,4.305843986955683,13.16756943522715
55200,6471.520283740171,0.02112279670233084,1.05,5.25478,4.314346855826781,13.16756943522715
55800,6484.114237157934,0.0208571196986111,1.05,5.25478,4.322742824771955,13.16756943522715
56400,6496.549787569471,0.02059478430134946,1.05,5.25478,4.33103319171298,13.16756943522715
57000,6508.828918724167,0.02033574866216246,1.05,5.25478,4.339219279149445,13.16756943522715
57600,6520.953586324902,0.02007997152432439,1.05,5.25478,4.347302390883268,13.16756943522715
58200,6532.92571802804,0.01982741222276767,1.05,5.25478,4.355283812018693,13.16756943522715
58800,6544.747234130493,0.01957803024767676,1.05,5.25478,4.363164822753662,13.16756943522715
59400,6556.420116445373,0.01933178379151497,1.05,5.25478,4.370946744296916,13.16756943522715
60000,6567.946173196128,0.01908863470872375,1.05,5.25478,4.378630782130752,13.16756943522715
60600,6579.327249258353,0.01884854408054549,1.05,5.25478,4.386218166172235,13.16756943522715
61200,6590.565166191025,0.01861147348010061,1.05,5.25478,4.393710110794017,13.16756943522715
61800,6601.661722557533,0.01837738496561531,1.05,5.25478,4.401107815038356,13.16756943522715
62400,6612.618694246691,0.01814624107364949,1.05,5.25478,4.408412462831127,13.16756943522715
63000,6623.437834793789,0.01791800481232414,1.05,5.25478,4.415625223195859,13.16756943522715
63600,6634.120875701597,0.01769263965454937,1.05,5.25478,4.422747250467731,13.16756943522715
64200,6644.669526761412,0.01747010953125195,1.05,5.25478,4.429779684507608,13.16756943522715
64800,6655.085476374075,0.01725037882460305,1.05,5.25478,4.436723650916051,13.16756943522715
65400,6665.370391871006,0.01703341236124599,1.05,5.25478,4.443580261247337,13.16756943522715
66000,6675.525919835224,0.01681917540552404,1.05,5.25478,4.450350613223483,13.16756943522715
66600,6685.553706716575,0.01660763322458981,1.05,5.25478,4.457035804477717,13.16756943522715
67200,6695.455359663846,0.01639875191467536,1.05,5.25478,4.463636906442564,13.16756943522715
67800,6705.232459129506,0.01619249813518758,1.05,5.25478,4.470154972753004,13.16756943522715
68400,6714.886575061594,0.01598883876713064,1.05,5.25478,4.476591050041063,13.16756943522715
69000,6724.419258618707,0.01578774108788319,1.05,5.25478,4.482946172412472,13.16756943522715
69600,6733.832042508531,0.01558917276405702,1.05,5.25478,4.489221361672354,13.16756943522715
70200,6743.126441326375,0.01539310184435531,1.05,5.25478,4.495417627550917,13.16756943522715
70800,6752.303951893709,0.01519949675243106,1.05,5.25478,4.50153596792914,13.16756943522715
71400,6761.366053596691,0.01500832627974563,1.05,5.25478,4.50757736906446,13.16756943522715
72000,6770.314208724709,0.01481955957842703,1.05,5.25478,4.513542805816472,13.16756943522715
72600,6779.149862808913,0.01463316615412828,1.05,5.25478,4.519433241872608,13.16756943522715
73200,6787.874366163681,0.01444911752115744,1.05,5.25478,4.525249577442453,13.16756943522715
73800,6796.489020625183,0.01426738621649938,1.05,5.25478,4.530992680416789,13.16756943522715
74400,6804.995316180419,0.01408794080798436,1.05,5.25478,4.536663544120279,13.16756943522715
75000,6813.394616689835,0.01391075252415791,1.05,5.25478,4.542263077793224,13.16756943522715
75600,6821.688269128951,0.01373579294976329,1.05,5.25478,4.547792179419301,13.16756943522715
76200,6829.87760384667,0.01356303402029218,1.05,5.25478,4.55325173589778,13.16756943522715
76800,6837.963934823625,0.01339244801653473,1.05,5.25478,4.55864262321575,13.16756943522715
77400,6845.948559930514,0.01322400755912986,1.05,5.25478,4.563965706620342,13.16756943522715
78000,6853.832761186421,0.01305768560311573,1.05,5.25478,4.569221840790947,13.16756943522715
78600,6861.617805017159,0.01289345543248,1.05,5.25478,4.574411870011439,13.16756943522715
79200,6869.304942513601,0.01273129065471006,1.05,5.25478,4.579536628342401,13.16756943522715
79800,6876.895404460083,0.01257116530567186,1.05,5.25478,4.584596936306722,13.16756943522715
80400,6884.390351460996,0.01241305490171939,1.05,5.25478,4.589593567640664,13.16756943522715
81000,6891.791029950946,0.01225693314856682,1.05,5.25478,4.594527353300631,13.16756943522715
81600,6899.098627571581,0.01210277499220094,1.05,5.25478,4.599399085047721,13.16756943522715
82200,6906.314317470134,0.01195055568437705,1.05,5.25478,4.604209544980089,13.16756943522715
82800,6913.439258539075,0.01180025077756309,1.05,5.25478,4.608959505692717,13.16756943522715
83400,6920.474595655775,0.01165183611988403,1.05,5.25478,4.613649730437183,13.16756943522715
84000,6927.421459922153,0.01150528785006621,1.05,5.25478,4.618280973281435,13.16756943522715
84600,6934.280968904341,0.01136058239238158,1.05,5.25478,4.622853979269561,13.16756943522715
85200,6941.054226872331,0.01121769645159204,1.05,5.25478,4.627369484581554,13.16756943522715
85800,6947.742325039646,0.01107660700789364,1.05,5.25478,4.631828216693097,13.16756943522715
86400,6954.346341802987,0.0109372913118609,1.05,5.25478,4.636230894535324,13.16756943522715
87000,6960.867228531944,0.01079972929378153,1.05,5.25478,4.640578152354629,13.16756943522715
87600,6967.306077685515,0.01066389790757745,1.05,5.25478,4.644870718457009,13.16756943522715
88200,6973.6639442428,0.01052977489783159,1.05,5.25478,4.649109296161867,13.16756943522715
88800,6979.941847306076,0.01039733876596994,1.05,5.25478,4.653294564870717,13.16756943522715
89400,6986.140793413464,0.01026656827846693,1.05,5.25478,4.657427195608976,13.16756943522715
90000,6992.261776741677,0.01013744246256827,1.05,5.25478,4.661507851161118,13.16756943522715
90600,6998.305779308782,0.01000994060201365,1.05,5.25478,4.665537186205855,13.16756943522715
91200,7004.273771176949,0.009884042232759549,1.05,5.25478,4.669515847451299,13.16756943522715
91800,7010.166710655202,0.00975972713870211,1.05,5.25478,4.673444473770135,13.16756943522715
92400,7015.985544502185,0.009636975347399712,1.05,5.25478,4.67732369633479,13.16756943522715
93000,7021.731208128898,0.00951576712579601,1.05,5.25478,4.681154138752599,13.16756943522715
93600,7027.404590647987,0.009396083717526326,1.05,5.25478,4.684936393765325,13.16756943522715
94200,7033.00658871306,0.009277906207144752,1.05,5.25478,4.68867105914204,13.16756943522715
94800,7038.538127113879,0.009161215085656458,1.05,5.25478,4.692358751409253,13.16756943522715
95400,7044.000092776945,0.00904599164281468,1.05,5.25478,4.696000061851297,13.16756943522715
96000,7049.393361820069,0.008932217396388551,1.05,5.25478,4.699595574546713,13.16756943522715
96600,7054.718799736183,0.008819874088285377,1.05,5.25478,4.703145866490789,13.16756943522715
97200,7059.977261577172,0.008708943680672619,1.05,5.25478,4.706651507718115,13.16756943522715
