"time","c","der(c)","B","SR","S_sat","S_sat_mean","T_basin","c_target","cycles","excursion"
0,90,0.0005353581145565938,0.673443531557921,0.6490006145415784,138.6747531257293,129.4676747153585,33.53553390593274,129.4676747153585,5,-0.3509993854584216
600,90.31991215222753,0.0005310186755631528,0.673443531557921,0.6494240481410629,139.0769442720251,129.4676747153585,33.68638668405062,129.4676747153585,5.017772897345974,-0.3505759518589371
1200,90.63723642771946,0.000526714339747689,0.673443531557921,0.6499103215250266,139.4611432159402,129.4676747153585,33.83022221559489,129.4676747153585,5.035402023762192,-0.3500896784749734
1800,90.95199137328009,0.0005224448555326198,0.673443531557921,0.650463122528713,139.8265147141609,129.4676747153585,33.96676670145617,129.4676747153585,5.052888409626672,-0.349536877471287
2400,91.26419480971894,0.0005182099811880984,0.673443531557921,0.6510859871368178,140.1722608269572,129.4676747153585,34.09576022144496,129.4676747153585,5.070233044984386,-0.3489140128631822
3000,91.57386758123367,0.0005140094339736174,0.673443531557921,0.6517823253924071,140.4976232304265,129.4676747153585,34.21695722906443,129.4676747153585,5.087437087846315,-0.3482176746075929
3600,91.88102903623843,0.0005098429514381814,0.673443531557921,0.6525553883827512,140.8018854368058,129.4676747153585,34.3301270189222,129.4676747153585,5.104501613124357,-0.3474446116172488
4200,92.18569967667135,0.000505710255483853,0.673443531557921,0.6534082865934749,141.0843749124744,129.4676747153585,34.43505416589111,129.4676747153585,5.121427759815075,-0.3465917134065251
4800,92.48789667141956,0.0005016111132237664,0.673443531557921,0.654343957626474,141.3444650836302,129.4676747153585,34.53153893518325,129.4676747153585,5.138216481745531,-0.345656042373526
5400,92.78764192819982,0.0004975452274913416,0.673443531557921,0.6553652230048637,141.5815772200522,129.4676747153585,34.61939766255644,129.4676747153585,5.154868996011101,-0.3446347769951363
6000,93.08495550065194,0.0004935123262695699,0.673443531557921,0.656474740991752,141.7951821878574,129.4676747153585,34.69846310392954,129.4676747153585,5.171386416702886,-0.343525259008248
6600,93.37985790153689,0.000489512131313708,0.673443531557921,0.6576750225723847,141.9848020627229,129.4676747153585,34.76858475374114,129.4676747153585,5.187769883418716,-0.3423249774276153
7200,93.67237018263191,0.0004855443570675415,0.673443531557921,0.6589684315262567,142.150011595661,129.4676747153585,34.82962913144534,129.4676747153585,5.204020565701772,-0.3410315684737433
7800,93.96251202848543,0.0004816087365205912,0.673443531557921,0.660357170465888,142.2904395241048,129.4676747153585,34.88148003559967,129.4676747153585,5.220139557138079,-0.339642829534112
8400,94.25030015596705,0.0004777050429173707,0.673443531557921,0.66184326899179,142.4057697217983,129.4676747153585,34.92403876506104,129.4676747153585,5.236127786442614,-0.33815673100821
9000,94.5357548490597,0.000473833001116389,0.673443531557921,0.6634286288251753,142.4957421817434,129.4676747153585,34.95722430686905,129.4676747153585,5.251986380503316,-0.3365713711748247
9600,94.81889533869973,0.0004699923502601752,0.673443531557921,0.6651149903610394,142.5601538272801,129.4676747153585,34.98097349045873,129.4676747153585,5.267716407705541,-0.3348850096389606
10200,95.09974085582351,0.000466182829491257,0.673443531557921,0.6669039389553943,142.5988591472155,129.4676747153585,34.99524110790929,129.4676747153585,5.28331893643464,-0.3330960610446057
10800,95.37830962910972,0.0004624041915472586,0.673443531557921,0.6687968965898888,142.6117706517954,129.4676747153585,35,129.4676747153585,5.298794979394985,-0.3312031034101112
11400,95.6546202699725,0.0004586561839741989,0.673443531557921,0.6707951300733832,142.5988591472155,129.4676747153585,34.99524110790929,129.4676747153585,5.314145570554028,-0.3292048699266168
12000,95.92869223398648,0.0004549385428675072,0.673443531557921,0.6728997525508399,142.5601538272801,129.4676747153585,34.98097349045873,129.4676747153585,5.329371790777027,-0.3271002474491601
12600,96.2005444963046,0.0004512510108392791,0.673443531557921,0.6751117122756378,142.4957421817434,129.4676747153585,34.95722430686905,129.4676747153585,5.344474694239144,-0.3248882877243622
13200,96.47019361768876,0.0004475933632515461,0.673443531557921,0.6774317768595433,142.4057697217983,129.4676747153585,34.92403876506104,129.4676747153585,5.359455200982709,-0.3225682231404567
13800,96.73765474100119,0.0004439653946993979,0.673443531557921,0.6798605378164797,142.2904395241048,129.4676747153585,34.88148003559967,129.4676747153585,5.374314152277844,-0.3201394621835203
14400,97.00294837905865,0.0004403668269373344,0.673443531557921,0.6823984556186952,142.150011595661,129.4676747153585,34.82962913144534,129.4676747153585,5.389052687725481,-0.3176015443813048
15000,97.26609268790372,0.0004367974136882489,0.673443531557921,0.6850458026129842,141.9848020627229,129.4676747153585,34.76858475374114,129.4676747153585,5.403671815994652,-0.3149541973870158
15600,97.52710490178431,0.0004332569211786921,0.673443531557921,0.6878026699988686,141.7951821878574,129.4676747153585,34.69846310392954,129.4676747153585,5.418172494543573,-0.3121973300011314
16200,97.7859994080106,0.0004297451542524172,0.673443531557921,0.6906689509188572,141.5815772200522,129.4676747153585,34.61939766255644,129.4676747153585,5.432555522667255,-0.3093310490811428
