model,n_params,train_R2,holdout_MAE_K,holdout_RMSE_K,holdout_bias_K,n_converged,coeffs,intercept
A: ratio only  Me=c(mw/ma)^n,2,0.3719097857716279,0.5996496645246067,0.7203491405852014,0.48776411348301785,32,log(mw/ma)=-0.5014,0.2151636464646563
E: separate flows + wet bulb,4,0.5059613687230182,0.6079292265842582,0.8107185819764958,0.5358596962492965,32,"log(mw)=-0.5134, log(ma)=+0.6436, log(Twb)=-0.4783",1.4513621723511196
C: ratio + inlet temp,3,0.3723107366755324,0.6081653308091883,0.7255980223189784,0.4763685096637016,32,"log(mw/ma)=-0.4944, log(Twi)=+0.1830",-0.4578397725271697
B: separate flows  Me=c*mw^a*ma^b,3,0.38174417741730093,0.7255262131357333,0.8849536302456065,0.6239214809546073,32,"log(mw)=-0.5431, log(ma)=+0.4187",0.29353886543844665
D: separate flows + inlet temp,4,0.3821576660041477,0.7338247591004974,0.8927719898177303,0.6123516236461901,32,"log(mw)=-0.5360, log(ma)=+0.4116, log(Twi)=+0.1859",-0.3898589464574299
